iter	Passed	Remaining
792	4267	3804
793	4273	3799
794	4280	3795
795	4286	3791
796	4293	3786
797	4316	3797
798	4322	3792
799	4330	3789
800	4336	3784
801	4344	3780
802	4352	3778
803	4362	3776
804	4370	3773
805	4376	3768
806	4385	3765
807	4396	3765
808	4405	3763
809	4411	3757
810	4416	3752
811	4446	3767
812	4453	3763
813	4458	3757
814	4466	3754
815	4473	3749
816	4478	3744
817	4484	3739
818	4491	3734
819	4497	3729
820	4502	3723
821	4509	3719
822	4516	3715
823	4526	3713
824	4533	3709
825	4540	3704
826	4546	3700
827	4553	3695
828	4559	3690
829	4565	3685
830	4571	3680
831	4577	3674
832	4582	3668
833	4587	3663
834	4592	3657
835	4598	3652
836	4604	3647
837	4610	3642
838	4616	3637
839	4623	3632
840	4627	3626
841	4632	3620
842	4636	3613
843	4641	3607
844	4645	3601
845	4651	3595
846	4656	3589
847	4661	3584
848	4667	3578
849	4671	3572
850	4677	3567
851	4681	3560
852	4685	3554
853	4691	3548
854	4696	3543
855	4702	3538
856	4706	3531
857	4711	3525
858	4717	3520
859	4723	3514
860	4729	3509
861	4734	3504
862	4740	3499
863	4746	3494
864	4751	3488
865	4758	3483
866	4764	3478
867	4770	3473
868	4777	3468
869	4782	3463
870	4788	3457
871	4794	3453
872	4801	3448
873	4806	3442
874	4813	3438
875	4820	3433
876	4826	3428
877	4832	3423
878	4837	3417
879	4843	3412
880	4849	3407
881	4854	3401
882	4860	3396
883	4865	3390
884	4871	3385
885	4874	3378
886	4880	3372
887	4886	3367
888	4891	3361
889	4897	3356
890	4903	3351
891	4908	3345
892	4914	3340
893	4919	3334
894	4925	3329
895	4931	3324
896	4937	3319
897	4942	3313
898	4947	3307
899	4953	3302
900	4960	3297
901	4966	3292
902	4972	3287
903	4978	3282
904	4984	3276
905	4990	3271
906	4996	3266
907	5002	3261
908	5007	3255
909	5012	3250
910	5018	3244
911	5023	3238
912	5029	3233
913	5035	3228
914	5041	3223
915	5047	3217
916	5053	3212
917	5059	3207
918	5065	3202
919	5071	3197
920	5076	3191
921	5082	3186
922	5088	3181
923	5094	3175
924	5100	3170
925	5104	3164
926	5110	3158
927	5116	3153
928	5121	3147
929	5127	3142
930	5132	3136
931	5137	3131
932	5143	3125
933	5149	3120
934	5154	3115
935	5159	3108
936	5165	3103
937	5171	3098
938	5177	3093
939	5184	3088
940	5191	3083
941	5196	3078
942	5203	3073
943	5208	3067
944	5214	3062
945	5220	3057
946	5226	3052
947	5232	3046
948	5238	3041
949	5244	3036
950	5250	3030
951	5255	3025
952	5261	3020
953	5266	3014
954	5272	3008
955	5277	3003
956	5283	2997
957	5289	2992
958	5294	2986
959	5300	2981
960	5305	2975
961	5310	2970
962	5316	2964
963	5321	2958
964	5326	2953
965	5332	2948
966	5338	2942
967	5343	2936
968	5348	2930
969	5354	2925
970	5359	2920
971	5365	2914
972	5371	2909
973	5376	2903
974	5381	2897
975	5387	2892
976	5392	2886
977	5398	2881
978	5404	2876
979	5410	2871
980	5414	2864
981	5421	2859
982	5427	2854
983	5432	2848
984	5437	2842
985	5443	2837
986	5449	2832
987	5454	2826
988	5459	2820
989	5464	2814
990	5469	2809
991	5475	2803
992	5481	2798
993	5487	2793
994	5492	2787
995	5497	2782
996	5503	2776
997	5508	2770
998	5514	2765
999	5519	2759
1000	5525	2754
1001	5530	2748
1002	5536	2743
1003	5541	2737
1004	5545	2731
1005	5549	2725
1006	5554	2719
1007	5560	2713
1008	5566	2708
1009	5571	2703
1010	5577	2697
1011	5583	2692
1012	5589	2687
1013	5595	2681
1014	5601	2676
1015	5607	2671
1016	5612	2665
1017	5617	2659
1018	5623	2654
1019	5629	2649
1020	5635	2643
1021	5641	2638
1022	5647	2633
1023	5653	2628
1024	5659	2622
1025	5664	2616
1026	5668	2610
1027	5674	2605
1028	5680	2600
1029	5686	2594
1030	5692	2589
1031	5698	2584
1032	5704	2578
1033	5710	2573
1034	5717	2568
1035	5723	2563
1036	5729	2558
1037	5735	2552
1038	5742	2547
1039	5748	2542
1040	5753	2536
1041	5759	2531
1042	5765	2525
1043	5771	2520
1044	5775	2514
1045	5780	2508
1046	5786	2503
1047	5791	2497
1048	5797	2492
1049	5803	2487
1050	5808	2481
1051	5814	2476
1052	5820	2470
1053	5826	2465
1054	5831	2459
1055	5837	2454
1056	5843	2449
1057	5849	2443
1058	5853	2437
1059	5858	2431
1060	5864	2426
1061	5869	2420
1062	5875	2415
1063	5881	2410
1064	5886	2404
1065	5893	2399
1066	5899	2393
1067	5903	2388
1068	5909	2382
1069	5916	2377
1070	5922	2372
1071	5928	2366
1072	5934	2361
1073	5940	2356
1074	5945	2350
1075	5951	2345
1076	5957	2339
1077	5962	2334
1078	5968	2328
1079	5973	2323
1080	5978	2317
1081	5984	2311
1082	5989	2306
1083	5995	2300
1084	6001	2295
1085	6007	2290
1086	6013	2284
1087	6020	2279
1088	6025	2274
1089	6032	2268
1090	6037	2263
1091	6042	2257
1092	6048	2252
1093	6053	2246
1094	6059	2241
1095	6064	2235
1096	6070	2230
1097	6075	2224
1098	6080	2218
1099	6085	2213
1100	6091	2207
1101	6097	2202
1102	6102	2196
1103	6108	2191
1104	6114	2185
1105	6120	2180
1106	6126	2175
1107	6132	2169
1108	6137	2163
1109	6144	2158
1110	6150	2153
1111	6155	2147
1112	6161	2142
1113	6167	2136
1114	6173	2131
1115	6178	2125
1116	6184	2120
1117	6189	2114
1118	6196	2109
1119	6202	2104
1120	6207	2098
1121	6212	2092
1122	6216	2086
1123	6222	2081
1124	6228	2076
1125	6234	2070
1126	6239	2065
1127	6245	2059
1128	6251	2054
1129	6256	2048
1130	6262	2043
1131	6268	2037
1132	6273	2032
1133	6279	2026
1134	6285	2021
1135	6291	2016
1136	6298	2010
1137	6303	2005
1138	6309	1999
1139	6315	1994
1140	6321	1988
1141	6327	1983
1142	6331	1977
1143	6336	1971
1144	6343	1966
1145	6348	1961
1146	6353	1955
1147	6359	1949
1148	6365	1944
1149	6371	1939
1150	6377	1933
1151	6383	1928
1152	6389	1922
1153	6395	1917
1154	6399	1911
1155	6405	1906
1156	6410	1900
1157	6416	1895
1158	6422	1889
1159	6428	1884
1160	6434	1878
1161	6440	1873
1162	6446	1867
1163	6450	1861
1164	6454	1856
1165	6460	1850
1166	6466	1845
1167	6471	1839
1168	6477	1834
1169	6481	1828
1170	6487	1822
1171	6492	1817
1172	6498	1811
1173	6504	1806
1174	6510	1800
1175	6515	1795
1176	6521	1789
1177	6527	1784
1178	6533	1778
1179	6538	1773
1180	6545	1767
1181	6550	1762
1182	6556	1756
1183	6561	1751
1184	6567	1745
1185	6573	1740
1186	6579	1734
1187	6585	1729
1188	6591	1724
1189	6598	1718
1190	6603	1713
1191	6610	1707
1192	6616	1702
1193	6621	1697
1194	6627	1691
1195	6633	1686
1196	6638	1680
1197	6644	1675
1198	6649	1669
1199	6654	1663
1200	6659	1657
1201	6665	1652
1202	6671	1646
1203	6677	1641
1204	6682	1636
1205	6688	1630
1206	6694	1625
1207	6699	1619
1208	6705	1613
1209	6711	1608
1210	6717	1603
1211	6723	1597
1212	6729	1592
1213	6734	1586
1214	6740	1581
1215	6746	1575
1216	6751	1569
1217	6756	1564
1218	6762	1558
1219	6766	1553
1220	6771	1547
1221	6776	1541
1222	6782	1536
1223	6788	1530
1224	6794	1525
1225	6800	1519
1226	6806	1514
1227	6812	1509
1228	6818	1503
1229	6824	1498
1230	6831	1492
1231	6837	1487
1232	6841	1481
1233	6848	1476
1234	6854	1470
1235	6859	1465
1236	6865	1459
1237	6870	1453
1238	6876	1448
1239	6882	1443
1240	6887	1437
1241	6893	1431
1242	6899	1426
1243	6904	1420
1244	6910	1415
1245	6915	1409
1246	6921	1404
1247	6927	1398
1248	6932	1393
1249	6937	1387
1250	6942	1381
1251	6949	1376
1252	6955	1371
1253	6960	1365
1254	6966	1359
1255	6971	1354
1256	6977	1348
1257	6983	1343
1258	6988	1337
1259	6994	1332
1260	7000	1326
1261	7005	1321
1262	7010	1315
1263	7016	1309
1264	7020	1304
1265	7026	1298
1266	7032	1293
1267	7037	1287
1268	7043	1282
1269	7049	1276
