SEX	BINARY	{0: -0.31866386666161184, 1: 0.43119614262004613}
V3_C_ST_SEGM_AV	CONTINUOUS	{'mean':95.11667304964635,'std':33.96974048407068}
V3_C_ST_SEGM_DEV	CONTINUOUS	{'mean':10.08858316321563,'std':11.48125323636855}
V3_C_QT_INT_AV	CONTINUOUS	{'mean':386.5402107051237,'std':43.34340064716267}
V3_C_QT_INT_DEV	CONTINUOUS	{'mean':11.443899501961956,'std':14.302274474981422}
V4_C_P_AV	CONTINUOUS	{'mean':75.94255438107636,'std':34.91136637126359}
V4_C_P_DEV	CONTINUOUS	{'mean':9.084553398497969,'std':7.189424087736474}
V4_C_QRS_AV	CONTINUOUS	{'mean':99.51279712335128,'std':16.611559699494144}
V4_C_QRS_DEV	CONTINUOUS	{'mean':3.1795857494284796,'std':4.795850202320528}
V4_C_T_AV	CONTINUOUS	{'mean':181.81430795337926,'std':33.72879989776548}
V4_C_T_DEV	CONTINUOUS	{'mean':14.67805189794291,'std':12.711475656868068}
V4_C_PR_INT_AV	CONTINUOUS	{'mean':137.82524348321425,'std':60.99877877259534}
V4_C_PR_INT_DEV	CONTINUOUS	{'mean':8.397286869102954,'std':7.834643896791535}
V4_C_PR_SEGM_AV	CONTINUOUS	{'mean':61.95528959221029,'std':33.68575706540335}
V4_C_PR_SEGM_DEV	CONTINUOUS	{'mean':6.0983156682063235,'std':6.177753474353271}
V4_C_ST_SEGM_AV	CONTINUOUS	{'mean':106.79420860758015,'std':37.03315197626255}
V4_C_ST_SEGM_DEV	CONTINUOUS	{'mean':11.419534914016715,'std':11.937313118337691}
V4_C_QT_INT_AV	CONTINUOUS	{'mean':388.50598073447884,'std':44.89568489946961}
V4_C_QT_INT_DEV	CONTINUOUS	{'mean':13.524084927564594,'std':15.261705224417963}
V5_C_P_AV	CONTINUOUS	{'mean':78.64509445882997,'std':35.05262015012494}
V5_C_P_DEV	CONTINUOUS	{'mean':9.82740217051275,'std':7.4270861015713185}
V5_C_QRS_AV	CONTINUOUS	{'mean':96.95920210493128,'std':16.333818528455183}
V5_C_QRS_DEV	CONTINUOUS	{'mean':3.4359892463570407,'std':4.90013750375314}
V5_C_T_AV	CONTINUOUS	{'mean':174.1461263221333,'std':31.081525449908504}
V5_C_T_DEV	CONTINUOUS	{'mean':16.389999744245557,'std':12.449858264213661}
V5_C_PR_INT_AV	CONTINUOUS	{'mean':137.19381068094356,'std':58.72626058846125}
V5_C_PR_INT_DEV	CONTINUOUS	{'mean':9.32808825712656,'std':8.122483946056501}
V5_C_PR_SEGM_AV	CONTINUOUS	{'mean':58.61894134620799,'std':31.814043135987504}
V5_C_PR_SEGM_DEV	CONTINUOUS	{'mean':6.351109534575798,'std':6.360872656245925}
V5_C_ST_SEGM_AV	CONTINUOUS	{'mean':118.37656884121064,'std':36.810113523551415}
V5_C_ST_SEGM_DEV	CONTINUOUS	{'mean':13.204100786361517,'std':12.27585364062568}
V5_C_QT_INT_AV	CONTINUOUS	{'mean':389.80542461205664,'std':46.82762054287153}
V5_C_QT_INT_DEV	CONTINUOUS	{'mean':15.77498057134179,'std':15.98294496287493}
V6_C_P_AV	CONTINUOUS	{'mean':80.8435357802652,'std':32.804204206025446}
V6_C_P_DEV	CONTINUOUS	{'mean':10.44335210255864,'std':7.386723262662791}
V6_C_QRS_AV	CONTINUOUS	{'mean':96.7702948374135,'std':16.953822575849948}
V6_C_QRS_DEV	CONTINUOUS	{'mean':3.915478684194178,'std':5.216464058593948}
V6_C_T_AV	CONTINUOUS	{'mean':169.01898274407486,'std':28.29846150883352}
V6_C_T_DEV	CONTINUOUS	{'mean':17.945530803549193,'std':12.340341985064104}
V6_C_PR_INT_AV	CONTINUOUS	{'mean':139.4209895568117,'std':54.35914444954603}
V6_C_PR_INT_DEV	CONTINUOUS	{'mean':10.461878463453209,'std':8.530370747697804}
V6_C_PR_SEGM_AV	CONTINUOUS	{'mean':58.66163222520556,'std':30.07609800470491}
V6_C_PR_SEGM_DEV	CONTINUOUS	{'mean':6.830808933464501,'std':6.798689816265611}
V6_C_ST_SEGM_AV	CONTINUOUS	{'mean':122.07399969910392,'std':34.86832163049392}
V6_C_ST_SEGM_DEV	CONTINUOUS	{'mean':14.847088720763765,'std':13.16922525089542}
V6_C_QT_INT_AV	CONTINUOUS	{'mean':388.2209168543573,'std':46.37871775748884}
V6_C_QT_INT_DEV	CONTINUOUS	{'mean':18.04358127986551,'std':16.818728646505708}
